id,name,parent_id/id,note,type,ponderation,state
factor_1,Features & Business Applications,,"
Ponderation Change Suggested by sana(sma@tinyerp.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by Mica(sardelic.miroslav@gmail.com). Value Changed from 1.1 to 1.32.
Ponderation Change Suggested by asa(asa.ramdhani@gmail.com). Value Changed from 1.32 to 1.8744.
Ponderation Change Suggested by suzmark(suzanne.kyle@hotmail.com). Value Changed from 1.8744 to 3.70081536.
Ponderation Change Suggested by olefoxe(olaf.vocks@googlemail.com). Value Changed from 3.70081536 to 14.0661158648.
Ponderation Change Suggested by Mica(sardelic.miroslav@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by asa(asa.ramdhani@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by suzmark(suzanne.kyle@hotmail.com). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by olefoxe(olaf.vocks@googlemail.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by gsw(gordon.s.webster@jm.pwc.com). Value Changed from 1.4 to 1.5.
Ponderation Change Suggested by viral(viraltiny@gmail.com). Value Changed from 1.5 to 1.6.
Ponderation Change Suggested by sma(vda@tinyerp.com). Value Changed from 1.6 to 1.7.
Ponderation Change Suggested by naeemirfan(irfanfoxsport@hotmail.com). Value Changed from 1.7 to 1.8.
Ponderation Change Suggested by vishalmoon(vishal.moon@wikioceanpune.net). Value Changed from 1.8 to 1.7.
Ponderation Revoked by Website Administrator. Value Changed from 1.7 to 1.6.
Ponderation Revoked by Website Administrator. Value Changed from 1.6 to 1.5.
Ponderation Revoked by Website Administrator. Value Changed from 1.5 to 1.4.
Ponderation Revoked by Website Administrator. Value Changed from 1.4 to 1.3.
Ponderation Revoked by Website Administrator. Value Changed from 1.3 to 1.2.
Ponderation Revoked by Website Administrator. Value Changed from 1.2 to 1.1.
Ponderation Revoked by Website Administrator. Value Changed from 1.1 to 1.0.
Ponderation Revoked by Website Administrator. Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by ashir24(ashir24@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by karim(onlyforkarim@yahoo.fr). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.4 to 1.5.
Ponderation Change Suggested by evma(digisatori@gmail.com). Value Changed from 1.5 to 1.6.
Ponderation Change Suggested by doni_inod(doni_inod@hotmail.com). Value Changed from 1.6 to 1.7.
Ponderation Change Suggested by niels(guillaume@moigneu.net). Value Changed from 1.7 to 1.6.
Ponderation Change Suggested by mherrera(mherrera@caaarem.org.mx). Value Changed from 1.6 to 1.7.
Ponderation Change Suggested by linruhe(linruhe@gmail.com). Value Changed from 1.7 to 1.8.
Ponderation Change Suggested by JuanRodriguezVila(j.rodriguezvila@helmag.com). Value Changed from 1.8 to 1.9.
Ponderation Change Suggested by mcaprio(mcaprio@gmail.com). Value Changed from 1.9 to 2.0.
Ponderation Change Suggested by tsmanjunath123(tsmanjunath.ts@gmail.com). Value Changed from 2.0 to 2.1.
Ponderation Change Suggested by goosefoots(pb.bosch@gmail.com). Value Changed from 2.1 to 2.0.
Ponderation Change Suggested by FLEETJW(fleetjw@hotmail.com). Value Changed from 2.0 to 1.9.
Ponderation Change Suggested by edmondmartin(edmond.martin@laposte.net). Value Changed from 1.9 to 2.0.
Ponderation Change Suggested by yunustri(strezz_boyz@yahoo.com). Value Changed from 2.0 to 1.9.
Ponderation Change Suggested by eakardl(tinhn@sbdbiz.com). Value Changed from 1.9 to 2.0.
Ponderation Change Suggested by maruthivijaykumar(vijay_ogirala@yahoo.com). Value Changed from 2.0 to 2.1.
Ponderation Change Suggested by jcbayarri(jcbayarri@obertic.com). Value Changed from 2.1 to 2.2.
Ponderation Change Suggested by mediamodi(ismael.hammmediamodi@hotmail.com). Value Changed from 2.2 to 2.3.
Ponderation Change Suggested by AmjadM(amjad.mahmoood@gmail.com). Value Changed from 2.3 to 2.4.
Ponderation Change Suggested by manomd(manohar.md@gmail.com). Value Changed from 2.4 to 2.5.
Ponderation Change Suggested by fidel7(a.feiel@gmx.net). Value Changed from 2.5 to 2.6.
Ponderation Change Suggested by yoni(yoni_ko@hotmail.com). Value Changed from 2.6 to 2.7.
Ponderation Change Suggested by jpuser(lorenzo.jorge@gmail.com). Value Changed from 2.7 to 2.8.
Ponderation Change Suggested by sumant_sahai(sumantksahai@rediffmail.com). Value Changed from 2.8 to 2.7.
Ponderation Change Suggested by minaeian(minaeian@yahoo.com). Value Changed from 2.7 to 2.8.
Ponderation Change Suggested by monther(monsalahi@yahoo.com). Value Changed from 2.8 to 2.7.
Ponderation Change Suggested by teglatfalasar(juan.latorre@treesoluciones.com). Value Changed from 2.7 to 2.8.
Ponderation Change Suggested by pravit39(pravit@pimacontrols.com). Value Changed from 2.8 to 2.9.
Ponderation Change Suggested by sha_k_aru(arrisa@ymail.com). Value Changed from 2.9 to 3.0.
Ponderation Change Suggested by qwerty(senyumdonk@is.its.ac.id). Value Changed from 3.0 to 3.1.
Ponderation Change Suggested by tp6789(persson.tommie@bredband.net). Value Changed from 3.1 to 3.2.
Ponderation Change Suggested by Stane(s.klesnik@siol.net). Value Changed from 3.2 to 3.3.
Ponderation Change Suggested by philuser(philuser@gmail.com). Value Changed from 3.3 to 3.4.
Ponderation Change Suggested by npa(npa@tinyerp.com). Value Changed from 3.4 to 3.5.
Ponderation Change Suggested by shaheryar(shaheryarmalik@gmail.com). Value Changed from 3.5 to 3.6.
Ponderation Change Suggested by malledrabs(malledrabs@gmail.com). Value Changed from 3.6 to 3.7.
Ponderation Change Suggested by billcraycraft(BILLCRAYCRAFT@YAHOO.COM). Value Changed from 3.7 to 3.8.
Ponderation Change Suggested by kamaream(kamaream@vosyx.com). Value Changed from 3.8 to 3.9.
Ponderation Change Suggested by zyprexa(zyprexa@gmail.com). Value Changed from 3.9 to 4.0.
Ponderation Change Suggested by conectasoftware(conectasoftware@gmail.com). Value Changed from 4.0 to 3.9.
Ponderation Change Suggested by roger01mx(orrn@live.com.mx). Value Changed from 3.9 to 4.0.
Ponderation Change Suggested by omarga(omarga@hotmail.com). Value Changed from 4.0 to 4.1.",view,4.1,open
factor_3,After-Sales Services,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 0.9.
Ponderation Change Suggested by shyamli(shyamlisingh86@gmail.com). Value Changed from 0.9 to 1.0.
Ponderation Revoked by Website Administrator. Value Changed from 1.0 to 0.9.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 0.9 to 1.0.
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by ykastro(ykastro@gmail.com). Value Changed from 1.2 to 1.3.",view,1.3,open
factor_4,Repairs management,factor_3,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_5,Manages reception of defect products and deliveries ,factor_4,,criterion,1,open
factor_6,Manages reparation in the warehouse,factor_4,,criterion,1,open
factor_7,Manages repairs at customer location,factor_4,,criterion,1,open
factor_8,Automatic invoicing of raw materials and products,factor_4,,criterion,1,open
factor_9,Automatic invoicing of services or hours spent on repairs,factor_4,,criterion,1,open
factor_10,Traceability of all operations on the lot,factor_4,,criterion,1,open
factor_11,Waranties Management,factor_3,,view,1,open
