id,factor_id/id,item_id/id,votes,result
factor_result_6244,factor_1057,item_1,0,0.000
factor_result_6245,factor_1057,item_2,0,0.000
factor_result_6246,factor_1057,item_4,0,0.000
factor_result_1812,factor_689,item_2,0,0.000
factor_result_1821,factor_700,item_2,0,0.000
factor_result_4057,factor_44,item_5,0,0.000
factor_result_4073,factor_36,item_5,0,0.000
factor_result_4074,factor_37,item_5,0,0.000
factor_result_4075,factor_38,item_5,0,0.000
factor_result_4076,factor_39,item_5,0,0.000
factor_result_4077,factor_40,item_5,0,0.000
factor_result_4078,factor_42,item_5,0,0.000
factor_result_4079,factor_43,item_5,0,0.000
factor_result_4080,factor_45,item_5,0,0.000
factor_result_4081,factor_46,item_5,0,0.000
factor_result_4161,factor_130,item_5,0,0.000
factor_result_4163,factor_132,item_5,0,0.000
factor_result_4280,factor_258,item_5,0,0.000
factor_result_4281,factor_259,item_5,0,0.000
factor_result_4282,factor_260,item_5,0,0.000
factor_result_4284,factor_262,item_5,0,0.000
factor_result_7123,factor_1055,item_7,0,0.000
factor_result_7124,factor_1056,item_7,0,0.000
factor_result_7247,factor_1062,item_1,0,0.000
factor_result_4285,factor_263,item_5,0,0.000
factor_result_4286,factor_264,item_5,0,0.000
factor_result_4287,factor_265,item_5,0,0.000
factor_result_4288,factor_266,item_5,0,0.000
factor_result_6247,factor_1057,item_5,0,0.000
factor_result_5229,factor_1047,item_1,0,0.000
factor_result_5230,factor_1047,item_2,0,0.000
factor_result_5232,factor_1047,item_5,0,0.000
factor_result_5233,factor_1048,item_1,0,0.000
factor_result_5234,factor_1048,item_2,0,0.000
factor_result_5236,factor_1048,item_5,0,0.000
factor_result_4056,factor_41,item_5,0,0.000
factor_result_4711,factor_559,item_5,0,0.000
factor_result_5398,factor_157,item_6,0,0.000
factor_result_5400,factor_121,item_6,0,0.000
factor_result_5406,factor_130,item_6,0,0.000
factor_result_5417,factor_146,item_6,0,0.000
factor_result_5421,factor_150,item_6,0,0.000
factor_result_5427,factor_158,item_6,0,0.000
factor_result_5428,factor_159,item_6,0,0.000
factor_result_5429,factor_160,item_6,0,0.000
factor_result_5430,factor_161,item_6,0,0.000
factor_result_5431,factor_162,item_6,0,0.000
factor_result_5432,factor_163,item_6,0,0.000
factor_result_5438,factor_191,item_6,0,0.000
factor_result_5450,factor_174,item_6,0,0.000
factor_result_5456,factor_182,item_6,0,0.000
factor_result_5245,factor_1051,item_1,1,100.000
factor_result_5410,factor_135,item_6,1,100.000
factor_result_5411,factor_137,item_6,1,100.000
factor_result_5413,factor_140,item_6,1,100.000
factor_result_5461,factor_188,item_6,0,0.000
factor_result_5464,factor_192,item_6,0,0.000
factor_result_5465,factor_193,item_6,0,0.000
factor_result_5499,factor_225,item_6,0,0.000
factor_result_5502,factor_228,item_6,0,0.000
factor_result_5637,factor_339,item_6,0,0.000
factor_result_5643,factor_323,item_6,0,0.000
factor_result_5658,factor_338,item_6,0,0.000
factor_result_5659,factor_340,item_6,0,0.000
factor_result_5660,factor_341,item_6,0,0.000
factor_result_5661,factor_342,item_6,0,0.000
factor_result_5662,factor_343,item_6,0,0.000
factor_result_5663,factor_344,item_6,0,0.000
factor_result_5672,factor_753,item_6,0,0.000
