id,factor_id/id,item_id/id,score_id/id,note,state
vote_3699,factor_902,item_6,score_3,"",draft
vote_3700,factor_903,item_6,score_3,"",draft
vote_3554,factor_922,item_6,score_3,"",draft
vote_3555,factor_925,item_6,score_3,"",draft
vote_3556,factor_932,item_6,score_3,"",draft
vote_3002,factor_1018,item_2,score_3,"",valid
vote_3003,factor_1019,item_2,score_3,"",valid
vote_3004,factor_1021,item_2,score_1,"",valid
vote_3005,factor_1022,item_2,score_1,"",valid
vote_3006,factor_1023,item_2,score_1,"",valid
vote_226,factor_150,item_2,score_3,,valid
vote_227,factor_149,item_2,score_1,,valid
vote_228,factor_154,item_2,score_3,,valid
vote_229,factor_153,item_2,score_3,,valid
vote_231,factor_156,item_2,score_3,,valid
vote_233,factor_159,item_2,score_1,,valid
vote_234,factor_160,item_2,score_1,,valid
vote_235,factor_161,item_2,score_1,,valid
vote_236,factor_162,item_2,score_1,,valid
vote_237,factor_163,item_2,score_1,,valid
vote_238,factor_134,item_2,score_1,,valid
vote_240,factor_65,item_2,score_3,,valid
vote_241,factor_67,item_2,score_3,,valid
vote_242,factor_64,item_2,score_1,,valid
vote_243,factor_66,item_2,score_3,,valid
vote_245,factor_69,item_2,score_1,,valid
vote_246,factor_70,item_2,score_3,,valid
vote_247,factor_71,item_2,score_3,,valid
vote_248,factor_77,item_2,score_1,,valid
vote_249,factor_74,item_2,score_3,,valid
vote_250,factor_75,item_2,score_1,,valid
vote_251,factor_76,item_2,score_1,,valid
vote_252,factor_31,item_2,score_3,,valid
vote_254,factor_29,item_2,score_3,,valid
vote_261,factor_51,item_2,score_3,,valid
vote_262,factor_80,item_2,score_3,,valid
vote_263,factor_79,item_2,score_1,,valid
vote_264,factor_82,item_2,score_1,,valid
vote_265,factor_81,item_2,score_1,,valid
vote_266,factor_84,item_2,score_1,,valid
vote_267,factor_86,item_2,score_1,,valid
vote_268,factor_85,item_2,score_1,,valid
vote_269,factor_58,item_2,score_3,,valid
vote_270,factor_60,item_2,score_1,,valid
vote_271,factor_61,item_2,score_1,,valid
vote_272,factor_62,item_2,score_1,,valid
vote_273,factor_57,item_2,score_3,,valid
vote_275,factor_59,item_2,score_3,,valid
vote_276,factor_49,item_2,score_1,,valid
vote_277,factor_48,item_2,score_3,,valid
vote_278,factor_941,item_2,score_1,,valid
vote_279,factor_939,item_2,score_1,,valid
vote_280,factor_943,item_2,score_1,,valid
vote_281,factor_942,item_2,score_1,,valid
vote_282,factor_940,item_2,score_1,,valid
