"id","description","chart_template_id/id","name","amount","parent_id","type","type_tax_use","sequence"
"rrif_pdv_25","PDV 25%","l10n_hr_chart_template_rrif","25% PDV","0.25",,"percent","sale","10"
"rrif_pdv_25usl","PDV 25% Usluge","l10n_hr_chart_template_rrif","25% PDV usluge","0.25",,"percent","sale","100"
"rrif_pdv_10","PDV 10%","l10n_hr_chart_template_rrif","10% PDV","0.10",,"percent","sale","100"
"rrif_pdv_0","PDV  0%","l10n_hr_chart_template_rrif","0% PDV","0.00",,"percent","sale","100"
"rrif_pdv_avans_25","PDV za predujam 25%","l10n_hr_chart_template_rrif","25% PDV (za predujam)","0.25",,"percent","sale","100"
"rrif_pdv_avans_10","PDV za predujam 10%","l10n_hr_chart_template_rrif","10% PDV (za predujam)","0.10",,"percent","sale","100"
"rrif_pdv_avans_0","PDV za predujam 0%","l10n_hr_chart_template_rrif","0% PDV (za predujam)","0.00",,"percent","sale","100"
"rrif_pdv_nezar_isp_25","PDV po nezaračunanim isporukama 25%","l10n_hr_chart_template_rrif","25% PDV za nezaračunane isp.","0.25",,"percent","sale","100"
"rrif_pdv_nezar_isp_10","PDV po nezaračunanim isporukama 10%","l10n_hr_chart_template_rrif","10% PDV za nezaračunane isp.","0.10",,"percent","sale","100"
"rrif_pdv_nezar_isp_0","PDV po nezaračunanim isporukama 0%","l10n_hr_chart_template_rrif","0% PDV za nezaračunane isp.","0.00",,"percent","sale","100"
"rrif_pdv_nepod_0","1. KOJE NE PODLIJEŽU OPOREZIVANJU (čl. 2. u svezi s čl. 5 i čl. 8 st. 7 Zakona)","l10n_hr_chart_template_rrif","0% Ne podliježe op.","0.00",,"percent","sale","100"
"rrif_pdv_osl_izvoz_0","2.1. IZVOZNE - s pravom na odbitak pretporeza (čl. 13. st. 1. toč. 1. i čl. 14. Zakona)","l10n_hr_chart_template_rrif","0% osl. izvozne","0.00",,"percent","sale","100"
"rrif_pdv_osl_medpri_0","2.2. U VEZI S MEĐUNARODNIM PRIJEVOZOM  (čl. 13.b Zakona)","l10n_hr_chart_template_rrif","0% osl. međ. prijevoz","0.00",,"percent","sale","100"
"rrif_pdv_osl_tuz_0","2.3. TUZEMNE - bez prava na odbitak pretporeza (čl. 11. i čl. 11a Zakona)","l10n_hr_chart_template_rrif","0% osl tuzemne","0.00",,"percent","sale","100"
"rrif_pdv_osl_ost_0","2.4. OSTALO (čl. 13. st. 1. toč. 2. I čl. 13a Zakona) ","l10n_hr_chart_template_rrif","0% osl. ostalo","0.00",,"percent","sale","100"
"rrif_pp_25","Pretporez 25% PDV","l10n_hr_chart_template_rrif","25% PDV pretporez","0.25",,"percent","purchase","10"
"rrif_pp_25usl","Pretporez 25% PDV Usluge","l10n_hr_chart_template_rrif","25% PDV pretporez usluge","0.25",,"percent","purchase","100"
"rrif_pp_10","Pretporez 10% PDV","l10n_hr_chart_template_rrif","10% PDV pretporez","0.10",,"percent","purchase","100"
"rrif_pp_0","Pretporez 0% PDV","l10n_hr_chart_template_rrif","0% PDV pretporez","0.00",,"percent","purchase","100"
"rrif_pp_avans_25","Pretporez za predujam 25% PDV","l10n_hr_chart_template_rrif","25% PDV pretporez za predujam","0.25",,"percent","purchase","100"
"rrif_pp_avans_0","Pretporez za predujam 0% PDV","l10n_hr_chart_template_rrif","0% PDV pretporez za predujam","0.00",,"percent","purchase","100"
"rrif_pp_uvoz_25","Plaćeni PDV 25% pri uvozu dobara","l10n_hr_chart_template_rrif","25% uvoz dobara","0.25",,"percent","purchase","100"
"rrif_pp_uvoz_10","Plaćeni PDV 10% pri uvozu dobara","l10n_hr_chart_template_rrif","10% uvoz dobara","0.10",,"percent","purchase","100"
"rrif_pp_uvoz_0","Plaćeni PDV 0% pri uvozu dobara","l10n_hr_chart_template_rrif","0% uvoz dobara","0.00",,"percent","purchase","100"
"rrif_pp_ino_25","Plaćeni PDV 25% na usluge inozemnih poduzetnika","l10n_hr_chart_template_rrif","25% ino. usluge","0.25",,"percent","purchase","100"
"rrif_pp_ino_10","Plaćeni PDV 10% na usluge inozemnih poduzetnika","l10n_hr_chart_template_rrif","10% ino. usluge","0.10",,"percent","purchase","100"
"rrif_ppr2_25","25% R-2 dobavljač","l10n_hr_chart_template_rrif","25% R-2 dobavljač","0.25",,"percent","purchase","100"
"rrif_pp_uvoz_samopdv_25","Samo PDV kod uvoza 25%","l10n_hr_chart_template_rrif","Samo PDV kod uvoza 25%","0.25",,"percent","purchase","100"
"rrif_pp_uvoz_samopdv_25usl","Samo PDV kod uvoza 25% usluge","l10n_hr_chart_template_rrif","Samo PDV kod uvoza 25% usluge","0.25",,"percent","purchase","100"
"rrif_ppdnp1_3070_1","pp 30% Nepriznat 70% Priznat","l10n_hr_chart_template_rrif","pp 30% Nepriznat 70% Priznat","1.0",,"percent","purchase","100"
"rrif_ppdnp1_7030_1","pp 70% Nepriznat 30% Priznat","l10n_hr_chart_template_rrif","pp 70% Nepriznat 30% Priznat","1.0",,"percent","purchase","100"
"rrif_ppdnp1_3070_1_r2","R2 pp 30% Nepriznat 70% Priznat","l10n_hr_chart_template_rrif","R2 pp 30% Nepriznat 70% Priznat","1.0",,"percent","purchase","100"
"rrif_ppdnp1_7030_1_r2","R2 pp 70% Nepriznat 30% Priznat","l10n_hr_chart_template_rrif","R2 pp 70% Nepriznat 30% Priznat","1.0",,"percent","purchase","100"
